"","variable","N_tests","RSV","weekN","vintage","year","date"
"1","V2","350","59",49,"2023-1",2022,2022-12-04
"2","V3","355","50",50,"2023-1",2022,2022-12-11
"3","V4","200","31",51,"2023-1",2022,2022-12-18
"4","V5","54","10",52,"2023-1",2022,2022-12-25
"5","V6","127","22",1,"2023-1",2023,2023-01-01
"6","V2","355","50",50,"2023-2",2022,2022-12-11
"7","V3","202","32",51,"2023-2",2022,2022-12-18
"8","V4","55","11",52,"2023-2",2022,2022-12-25
"9","V5","134","24",1,"2023-2",2023,2023-01-01
"10","V6","142","23",2,"2023-2",2023,2023-01-08
"11","V2","202","32",51,"2023-3",2022,2022-12-18
"12","V3","55","11",52,"2023-3",2022,2022-12-25
"13","V4","134","24",1,"2023-3",2023,2023-01-01
"14","V5","165","24",2,"2023-3",2023,2023-01-08
"15","V6","124","17",3,"2023-3",2023,2023-01-15
"16","V2","55","11",52,"2023-4",2022,2022-12-25
"17","V3","134","24",1,"2023-4",2023,2023-01-01
"18","V4","165","24",2,"2023-4",2023,2023-01-08
"19","V5","163","19",3,"2023-4",2023,2023-01-15
"20","V6","140","10",4,"2023-4",2023,2023-01-22
"21","V2","134","24",1,"2023-5",2023,2023-01-01
"22","V3","165","24",2,"2023-5",2023,2023-01-08
"23","V4","163","19",3,"2023-5",2023,2023-01-15
"24","V5","147","11",4,"2023-5",2023,2023-01-22
"25","V6","145","9",5,"2023-5",2023,2023-01-29
"26","V2","165","24",2,"2023-6",2023,2023-01-08
"27","V3","166","19",3,"2023-6",2023,2023-01-15
"28","V4","148","11",4,"2023-6",2023,2023-01-22
"29","V5","165","9",5,"2023-6",2023,2023-01-29
"30","V6","165","12",6,"2023-6",2023,2023-02-05
"31","V2","166","19",3,"2023-7",2023,2023-01-15
"32","V3","148","11",4,"2023-7",2023,2023-01-22
"33","V4","165","9",5,"2023-7",2023,2023-01-29
"34","V5","167","12",6,"2023-7",2023,2023-02-05
"35","V6","158","6",7,"2023-7",2023,2023-02-12
"36","V2","148","11",4,"2023-8",2023,2023-01-22
"37","V3","165","9",5,"2023-8",2023,2023-01-29
"38","V4","168","12",6,"2023-8",2023,2023-02-05
"39","V5","167","6",7,"2023-8",2023,2023-02-12
"40","V6","130","1",8,"2023-8",2023,2023-02-19
"41","V2","165","9",5,"2023-9",2023,2023-01-29
"42","V3","168","12",6,"2023-9",2023,2023-02-05
"43","V4","167","6",7,"2023-9",2023,2023-02-12
"44","V5","144","1",8,"2023-9",2023,2023-02-19
"45","V6","149","0",9,"2023-9",2023,2023-02-26
"46","V2","168","12",6,"2023-10",2023,2023-02-05
"47","V3","167","6",7,"2023-10",2023,2023-02-12
"48","V4","144","1",8,"2023-10",2023,2023-02-19
"49","V5","170","0",9,"2023-10",2023,2023-02-26
"50","V6","147","1",10,"2023-10",2023,2023-03-05
"51","V2","167","6",7,"2023-11",2023,2023-02-12
"52","V3","144","1",8,"2023-11",2023,2023-02-19
"53","V4","170","0",9,"2023-11",2023,2023-02-26
"54","V5","158","1",10,"2023-11",2023,2023-03-05
"55","V6","153","0",11,"2023-11",2023,2023-03-12
"56","V2","144","1",8,"2023-12",2023,2023-02-19
"57","V3","170","0",9,"2023-12",2023,2023-02-26
"58","V4","158","1",10,"2023-12",2023,2023-03-05
"59","V5","160","0",11,"2023-12",2023,2023-03-12
"60","V6","173","0",12,"2023-12",2023,2023-03-19
"61","V2","170","0",9,"2023-13",2023,2023-02-26
"62","V3","158","1",10,"2023-13",2023,2023-03-05
"63","V4","160","0",11,"2023-13",2023,2023-03-12
"64","V5","181","0",12,"2023-13",2023,2023-03-19
"65","V6","125","0",13,"2023-13",2023,2023-03-26
"66","V2","158","1",10,"2023-14",2023,2023-03-05
"67","V3","160","0",11,"2023-14",2023,2023-03-12
"68","V4","181","0",12,"2023-14",2023,2023-03-19
"69","V5","137","0",13,"2023-14",2023,2023-03-26
"70","V6","64","0",14,"2023-14",2023,2023-04-02
"71","V2","160","0",11,"2023-15",2023,2023-03-12
"72","V3","181","0",12,"2023-15",2023,2023-03-19
"73","V4","138","0",13,"2023-15",2023,2023-03-26
"74","V5","74","0",14,"2023-15",2023,2023-04-02
"75","V6","62","0",15,"2023-15",2023,2023-04-09
