"","variable","N_tests","RSV","weekN","vintage","year","date","most_recent"
"1","V2","350","59",49,"2023-1",2022,2022-12-04,1
"2","V2","355","50",50,"2023-2",2022,2022-12-11,1
"3","V2","202","32",51,"2023-3",2022,2022-12-18,1
"4","V2","55","11",52,"2023-4",2022,2022-12-25,1
"5","V2","134","24",1,"2023-5",2023,2023-01-01,1
"6","V2","165","24",2,"2023-6",2023,2023-01-08,1
"7","V2","166","19",3,"2023-7",2023,2023-01-15,1
"8","V2","148","11",4,"2023-8",2023,2023-01-22,1
"9","V2","165","9",5,"2023-9",2023,2023-01-29,1
"10","V3","168","12",6,"2023-9",2023,2023-02-05,1
"11","V4","167","6",7,"2023-9",2023,2023-02-12,1
"12","V5","144","1",8,"2023-9",2023,2023-02-19,1
"13","V6","149","0",9,"2023-9",2023,2023-02-26,1
"14","V2","158","1",10,"2023-14",2023,2023-03-05,1
"15","V2","160","0",11,"2023-15",2023,2023-03-12,1
"16","V3","181","0",12,"2023-15",2023,2023-03-19,1
"17","V4","138","0",13,"2023-15",2023,2023-03-26,1
"18","V5","74","0",14,"2023-15",2023,2023-04-02,1
"19","V6","62","0",15,"2023-15",2023,2023-04-09,1
